fire Name,NER Name Extracted
Camp Bowie Rx,"('Texas Intrastate Fire Mutual Aid System', 'ORGANIZATION'), ('Texas A & M Forest Service', 'ORGANIZATION'), ('Brownwood', 'LOCATION'), ('Forest Service', 'ORGANIZATION'), ('Camp Bowie', 'LOCATION'), ('Texas', 'LOCATION'), ('Texas Army National Guard', 'ORGANIZATION'), ('Brown County', 'LOCATION'), ('Camp Bowie Training Center', 'LOCATION')"
Fort Wolters Rx ,"('Texas Intrastate Fire Mutual Aid System', 'ORGANIZATION'), ('Forest Service', 'ORGANIZATION'), ('Texas', 'LOCATION'), ('Mineral Wells', 'LOCATION'), ('Fort Wolters', 'LOCATION'), ('Texas Military Department', 'ORGANIZATION'), ('Palo Pinto County', 'LOCATION')"
Hidden Shores Fire,"('Bureau of Reclamation', 'ORGANIZATION')"
Baseball Fire,"('Mendocino National Forest', 'ORGANIZATION'), ('Glenn', 'LOCATION'), ('Mendocino', 'LOCATION'), ('Covelo Ranger District', 'LOCATION'), ('Covelo', 'LOCATION')"
Longfellow Complex,"('Pecos', 'LOCATION'), ('Longfellow Complex', 'ORGANIZATION'), ('Forest Service', 'ORGANIZATION'), ('Pecos County', 'LOCATION'), ('Texas', 'LOCATION'), ('Terrell Counties', 'LOCATION'), ('Sanderson', 'LOCATION')"
Payette Spring Prescribed Fire,"('Payette National Forest', 'ORGANIZATION')"
Spring Rx Fire in South Central Oregon,"('Lakeview District Bureau of Land Management', 'ORGANIZATION'), ('W. of Valley Falls', 'LOCATION'), ('Sheldon Wildlife Refuge Little Sheldon', 'ORGANIZATION'), ('Sheldon-Hart Mountain National Wildlife Refuge Complex', 'ORGANIZATION'), ('South Central Oregon', 'LOCATION'), ('Oregon Department of Forestry Smoke Management Office', 'ORGANIZATION'), ('Klamath', 'LOCATION'), ('Bly', 'PERSON'), ('Chiloquin', 'LOCATION'), ('Adel', 'PERSON'), ('Fremont-Winema National Forest', 'LOCATION'), ('South Central Oregon Fire Management Partnership', 'ORGANIZATION'), ('Silver Lake', 'LOCATION'), ('Chemult Ranger District LOMI', 'ORGANIZATION'), ('Lakeview', 'LOCATION'), ('Klamath Falls Field Office Bryant Mountain', 'ORGANIZATION'), ('Klamath Ranger District Eagle', 'ORGANIZATION'), ('Lakeview Ranger District Stateline', 'LOCATION'), ('Beatty', 'PERSON'), ('Klamath Falls', 'LOCATION')"
Beacon Fire,"('Sherwood Forest Estates', 'ORGANIZATION'), ('Williams Ranger District of the Kaibab National Forest', 'ORGANIZATION'), ('Williams', 'PERSON'), ('Sherwood Forest Estates', 'LOCATION'), ('Parks Bellemont Fire Departments', 'ORGANIZATION')"
El Lobo Fire,"('Jackson County', 'LOCATION'), ('Vanderbilt', 'LOCATION')"
Oak Canyon Fire,"('Sanderson', 'PERSON'), ('San Angelo', 'LOCATION'), ('Fort Stockton', 'LOCATION'), ('Forest Service', 'ORGANIZATION'), ('Texas', 'LOCATION'), ('TX', 'LOCATION'), ('Dozer', 'PERSON'), ('Terrell County', 'LOCATION'), ('Sanderson', 'LOCATION')"
Holcombe Road Fire,"('Fort Stockton', 'LOCATION'), ('Forest Service', 'ORGANIZATION'), ('Texas', 'LOCATION'), ('Holcombe Road Fire', 'LOCATION'), ('San Angelo', 'LOCATION'), ('Crockett County', 'LOCATION')"
Hancock Canyon Fire,"('Littlefield', 'PERSON'), ('Twitter', 'ORGANIZATION'), ('Arizona Strip District', 'LOCATION'), ('Arizona', 'LOCATION'), ('Bureau of Land Management', 'ORGANIZATION'), ('Hancock Canyon Fire', 'ORGANIZATION'), ('Dixie National Forest and Beaver Dam Fire Department', 'ORGANIZATION')"
Clay Childress,"('Forest Service', 'ORGANIZATION'), ('Crockett County', 'LOCATION')"
Montague,"('Forest Service', 'ORGANIZATION'), ('Crockett County', 'LOCATION'), ('Texas', 'LOCATION')"
Davidson,"('Forest Service', 'ORGANIZATION'), ('Crockett County', 'LOCATION'), ('Davidson', 'PERSON'), ('Texas', 'LOCATION')"
Live Oak Road,"('Forest Service', 'ORGANIZATION'), ('Crockett County', 'LOCATION'), ('Texas', 'LOCATION')"
Basin Fire,"('BLM', 'ORGANIZATION'), ('St. George', 'LOCATION'), ('Rachel Carnahan', 'PERSON'), ('Twitter', 'ORGANIZATION'), ('BLM Arizona Strip District', 'ORGANIZATION'), ('Arizona Strip Field Office', 'ORGANIZATION'), ('Arizona', 'LOCATION'), ('Centers for Disease Control and Prevention', 'ORGANIZATION'), ('Utah', 'LOCATION'), ('Bureau of Land Management Fire Size', 'ORGANIZATION'), ('Littlefield', 'LOCATION')"
Lumberton Fire,"('Lumberton Fire', 'ORGANIZATION')"
Cat Claw Fire,"('Jeff Davis County', 'PERSON'), ('Forest Service', 'ORGANIZATION'), ('Texas', 'LOCATION'), ('Jeff Davis County', 'LOCATION'), ('Fort Davis VFD', 'LOCATION')"
Mine Fire,"('BLM Arizona Strip District', 'ORGANIZATION'), ('Boise', 'LOCATION'), ('St. George Fire', 'ORGANIZATION'), ('Beaver Dam Fire Departments', 'ORGANIZATION'), ('Dixie National Forest', 'ORGANIZATION')"
Forehand Fire,"('Forest Service', 'ORGANIZATION'), ('Crockett County Fire Department', 'ORGANIZATION'), ('Crockett County', 'LOCATION'), ('Texas', 'LOCATION')"
Gries Ranch Fire,"('Forest Service', 'ORGANIZATION'), ('Texas', 'LOCATION'), ('Val Verde County', 'LOCATION')"
East Desert Fire ,"('Desert Hills Drive', 'LOCATION')"
Los Charcos,"('Isleta Pueblo', 'LOCATION')"
Maverick Fire,"('Bowie', 'PERSON'), ('BLM', 'ORGANIZATION'), ('Tucson', 'LOCATION'), ('Aravaipa Veterans Interagency Hotshot Crew', 'ORGANIZATION'), ('Dos Cabezas', 'PERSON'), ('U.S. Forest Service', 'ORGANIZATION'), ('Willcox', 'PERSON')"
Cottonwood Fire,"('Air Tankers', 'ORGANIZATION'), ('Florence', 'LOCATION'), ('Cottonwood Fire', 'LOCATION'), ('Large Air Tankers', 'ORGANIZATION')"
Range Fire ,"('National Guard Firing Range', 'ORGANIZATION'), ('Pinal County', 'LOCATION'), ('Florence', 'LOCATION')"
Ocotillo Fire ,"('Cave Creek', 'LOCATION')"
Sawtooth Fire ,
Airstrip ,"('Airstrip Group', 'ORGANIZATION'), ('Sonoita', 'LOCATION'), ('Tucson Field Office', 'ORGANIZATION'), ('Bureau of Land Management', 'ORGANIZATION'), ('Tucson Field Office', 'LOCATION'), ('Las Cienegas National Conservation Area', 'ORGANIZATION'), ('Gila District Fire Management Office', 'ORGANIZATION')"
Thursday Bay,"('Crooked Lake', 'LOCATION'), ('Balsam Fir', 'ORGANIZATION'), ('Lake County', 'LOCATION')"
SHF Lightning Fires 2020,"('Big Bar', 'ORGANIZATION'), ('McCloud Management Unit', 'ORGANIZATION'), ('Weaverville', 'LOCATION'), ('Mendocino National Forest', 'ORGANIZATION'), ('Trinity Lake', 'ORGANIZATION'), ('Adams Fire', 'ORGANIZATION'), ('McCloud', 'PERSON'), ('National Recreation Area', 'ORGANIZATION'), ('Deer Lick Springs', 'LOCATION'), ('Trinity Alps', 'ORGANIZATION'), ('Trinity Alps Wilderness Area', 'LOCATION'), ('InciWeb', 'ORGANIZATION'), ('Lake Ranger District', 'LOCATION'), ('Hayfork', 'PERSON'), ('Yolla Bolly-Middle Eel Wilderness', 'LOCATION'), ('Platina', 'LOCATION'), ('Adams Lake', 'LOCATION')"
Wilson Crossing Fire,"('Bureau of Land Management Lands', 'ORGANIZATION'), ('Huerfano County', 'LOCATION'), ('Wilson Crossing Fire', 'ORGANIZATION'), ('Wilson Crossing FireFinal Update', 'ORGANIZATION')"
